word,level,transcription,russian
yakmak,A1,йакмак,жечь
yapmak,A1,йапмак,делать
yardım etmek,A1,йардым этмек,помогать
yardım istemek,A1,йардым истемек,просить помощи
yatmak,A1,йатмак,"лежать, ложиться"
yazmak,A1,йазмак,писать
yaşamak,A1,йашамак,жить
yaşlanmak,A1,йашланмак,стареть
yemek,A1,йемек,"есть, еда"
yenmek,A1,йенмек,побеждать
yorulmak,A1,йорулмак,уставать
yürümek,A1,йюрюмек,ходить пешком
yüzmek,A1,йюзмек,плавать
yıkamak,A1,йыкамак,мыть
ziyaret etmek,A1,зийарет этмек,"навещать, посещать"
Ziyarete gelmek,A1,зийарете гелмек,приходить в гости
çalmak,A1,чалмак,играть (на инструменте); красть; звонить
çalışmak,A1,чалышмак,"работать, учиться"
çıkmak,A1,чыкмак,выходить
Öksürmek,A1,ёксюрмек,кашлять
öpmek,A1,ёпмек,целовать
özlemek,A1,ёзлемек,скучать
öğrenmek,A1,ёйренмек,"учить, учиться"
öğretmek,A1,ёйретмек,учить (кого-л.)
acele etmek,A2,аджеле этмек,"спешить, торопиться"
affetmek,A2,аффетмек,прощать
alay etmek,A2,алай этмек,"насмехаться, издеваться"
anlatmak,A2,анлатмак,"рассказывать, объяснять"
anırmak,A2,анырмак,реветь (об осле)
ara vermek,A2,ара вермек,делать перерыв
artmak,A2,артмак,увеличиваться
azalmak,A2,азалмак,уменьшаться
balık tutmak,A2,балык тутмак,ловить рыбу
basmak,A2,басмак,"нажимать, наступать"
bastırmak,A2,бастырмак,"подавлять, придавливать"
batmak,A2,батмак,"тонуть, заходить (о солнце)"
bağlamak,A2,баламак,связывать
bilgi vermek,A2,билги вермек,"сообщать, информировать"
bitirmek,A2,битирмек,заканчивать
borç vermek,A2,борч вермек,давать в долг
boyamak,A2,бойамак,красить
bozulmak,A2,бозулмак,портиться
boğulmak,A2,боулмак,топи́ть
burs vermek,A2,бурс вермек,давать стипендию
bıkmak,A2,быкмак,"устать, надоесть"
dalmak,A2,далмак,нырять; замечтаться
dayanmak,A2,дайанмак,"наклони́ться, [[положи́ться]] (на)"
dağıtmak,A2,даытмак,"раздавать, рассеивать"
denemek,A2,денемек,пробовать
destek vermek,A2,дестек вермек,оказывать поддержку
dikiş dikmek,A2,дикиш дикмек,шить
dikkat etmek,A2,диккат этмек,"обращать внимание, быть осторожным"
dizilmek,A2,дизилмек,выстраиваться
dizmek,A2,дизмек,ставить в ряд
doldurmak,A2,долдурмак,наполнять
donmak,A2,донмак,заморозки; морозы
doymak,A2,доймак,а не
doğramak,A2,дорамак,нарезать
duymak,A2,дуймак,"слышать, чувствовать"
dökmek,A2,дёкмек,"лить, проливать"
düzenlemek,A2,дюзенлемек,располагать; расположить
düşünmek,A2,дюшюнмек,"думать, размышлять"
eklemek,A2,эклемек,добавлять
farkında olmak,A2,фаркында олмак,осознавать
fethetmek,A2,фетхетмек,завоёвывать
fırçalamak,A2,фырчаламак,чистить щёткой
fışkırmak,A2,фышкырмак,бить струёй
gerçekleştirmek,A2,герчеклештирмек,осуществлять
geç kalmak,A2,геч калмак,опаздывать
geçirmek,A2,гечирмек,проводить (время); пропускать
gitar çalmak,A2,гитар чалмак,играть на гитаре
giyinmek,A2,гийинмек,одеваться
göz kırpmak,A2,гёз кырпмак,подмигивать
güneşlenmek,A2,гюнешленмек,загорать
güvenmek,A2,гювенмек,доверять
hapşırmak,A2,хапшырмак,чихать
hatırlamak,A2,хатырламак,вспоминать
haşlamak,A2,хашламак,варить
horlamak,A2,хорламак,храпеть
hoş görmek,A2,хош гёрмек,"смотреть сквозь пальцы, прощать"
hüküm vermek,A2,хюкюм вермек,"выносить приговор, судить"
icat etmek,A2,иджат этмек,изобретать
ihmal etmek,A2,ихмал этмек,пренебрегать
ikna etmek,A2,икна этмек,убеждать
ilave etmek,A2,илаве этмек,добавлять
ilerlemek,A2,илерлемек,продвигаться
ilgilenmek,A2,илгиленмек,"интересоваться, заниматься"
imzalamak,A2,имзаламак,подписывать
incelemek,A2,инджелемек,"изучать, рассматривать"
incitmek,A2,инджитмек,"обижать, ранить"
iptal olmak,A2,иптал олмак,отменяться
isyan etmek,A2,исйан этмек,восставать
itmek,A2,итмек,толкать
iyileşmek,A2,ийилешмек,выздоравливать
işaretlemek,A2,ишаретлемек,отмечать
karar vermek,A2,карар вермек,принимать решение
kartopu oynamak,A2,картопу ойнамак,играть в снежки
karşılaşmak,A2,каршылашмак,"встречаться, сталкиваться"
kavga etmek,A2,кавга этмек,"ссориться, драться"
kayak yapmak,A2,кайак йапмак,кататься на лыжах
kaybolmak,A2,кайболмак,пропадать
kaynamak,A2,кайнамак,кипеть
kaynatmak,A2,кайнатмак,кипятить
kazanmak,A2,казанмак,"выигрывать, зарабатывать"
kaçmak,A2,качмак,убегать
keşfetmek,A2,кешфетмек,"открывать, обнаруживать"
kopmak,A2,копмак,"оторваться, разразиться"
kredi almak,A2,креди алмак,брать кредит
közlemek,A2,кёзлемек,"запекать в золе, тлеть"
kürek çekmek,A2,кюрек чекмек,грести
küsmek,A2,кюсмек,"дуться, обижаться"
kımıldamak,A2,кымылдамак,шевелиться
kızartmak,A2,кызартмак,жарить
kızmak,A2,кызмак,злиться; нагреваться
merak etmek,A2,мерак этмек,беспокоиться; любопытствовать
mezun olmak,A2,мезун олмак,оканчивать (учёбу)
mola vermek,A2,мола вермек,"делать привал, перерыв"
neden olmak,A2,неден олмак,стать причиной
nişanlanmak,A2,нишанланмак,обручиться
numaralandırmak,A2,нумараландырмак,нумеровать
oda tutmak,A2,ода тутмак,снимать комнату
oluşturmak,A2,олуштурмак,"образовывать, создавать"
para bozdurmak,A2,пара боздурмак,разменять деньги
park etmek,A2,парк этмек,парковаться
problem çıkarmak,A2,проблем чыкармак,создавать проблемы
rendelemek,A2,ренделемек,тереть на тёрке
saklamak,A2,сакламак,"прятать, хранить"
silmek,A2,силмек,"вытирать, удалять"
soluklanmak,A2,солукланмак,перевести дух
söndürmek,A2,сёндюрмек,гасить
sürtünmek,A2,сюртюнмек,тереться
süslemek,A2,сюслемек,украшать
süzmek,A2,сюзмек,процеживать
sıkıntı çekmek,A2,сыкынты чекмек,"терпеть нужду, мучиться"
sıralamak,A2,сыраламак,"перечислять, выстраивать"
sığmak,A2,сымак,помещаться
tahmin etmek,A2,тахмин этмек,"предполагать, угадывать"
takip etmek,A2,такип этмек,"следить, следовать"
takmak,A2,такмак,"надевать, прикреплять"
tamamlamak,A2,тамамламак,завершать
tarif etmek,A2,тариф этмек,"описывать, объяснять"
tartmak,A2,тартмак,взвешивать
taşmak,A2,ташмак,переливаться через край
taşımak,A2,ташымак,нести; носить; износ
tükenmek,A2,тюкенмек,иссякать
tıraş olmak,A2,тыраш олмак,бриться
usanmak,A2,усанмак,"устать, пресытиться"
uzatmak,A2,узатмак,"протягивать, продлевать"
yalan söylemek,A2,йалан сёйлемек,лгать
yapışmak,A2,йапышмак,прилипать
yatıştırmak,A2,йатыштырмак,успокаивать
yayımlamak,A2,йайымламак,публиковать
yağmak,A2,йамак,идти (о дожде/снеге)
yerleştirmek,A2,йерлештирмек,размещать
yetişmek,A2,йетишмек,"успевать, вырастать"
yetiştirmek,A2,йетиштирмек,"выращивать, успевать доставить"
zannetmek,A2,заннетмек,предполагать; предположить
çalıştırmak,A2,чалыштырмак,"запускать, заставлять работать"
çarpmak,A2,чарпмак,"ударять, врезаться"
çağırmak,A2,чаырмак,звать
çekinmek,A2,чекинмек,"стесняться, избегать"
çekmek,A2,чекмек,тянуть; снимать (фото); терпеть
çizmek,A2,чизмек,"рисовать, чертить"
çözmek,A2,чёзмек,"развязывать, решать"
çırpmak,A2,чырпмак,взбивать; хлопать
önermek,A2,ёнермек,предлагать
özen göstermek,A2,ёзен гёстермек,"проявлять заботу, стараться"
ütülemek,A2,ютюлемек,гладить (утюгом)
ıslık çalmak,A2,ыслык чалмак,свистеть
ısmarlamak,A2,ысмарламак,на заказ
şaşırmak,A2,шашырмак,удивляться
şişirmek,A2,шиширмек,надувать
şımartmak,A2,шымартмак,баловать
adet yerini bulmak,B1,адет йерини булмак,идти своим чередом
aklına getirmek,B1,аклына гетирмек,"напоминать, наводить на мысль"
aksamak,B1,аксамак,хромать; давать сбой
akıldan geçirmek,B1,акылдан гечирмек,"обдумывать, прокручивать в голове"
akıtmak,B1,акытмак,"лить, цедить"
algılamak,B1,алгыламак,воспринимать
anımsamak,B1,анымсамак,припоминать
artırmak,B1,артырмак,увеличивать
arınmak,B1,арынмак,очищаться
atıştırmak,B1,атыштырмак,перекусывать
ayakta durmak,B1,айакта дурмак,стоять на ногах
ayakta kalmak,B1,айакта калмак,"удержаться на ногах, выстоять"
ayrılmak,B1,айрылмак,"оставля́ть, отдели́ть"
ayırmak,B1,айырмак,"отделять, уделять"
açıklığa kavuşmak,B1,ачыклыа кавушмак,проясниться
ağırlık vermek,B1,аырлык вермек,"делать упор, придавать значение"
aşmak,B1,ашмак,"преодолевать, превосходить"
bahsetmek,B1,бахсетмек,"упоминать, говорить о"
başının etini yemek,B1,башынын этини йемек,"пилить, доставать (кого-л.)"
belirlemek,B1,белирлемек,определять
benimsemek,B1,бенимсемек,"принимать, усваивать"
berraklaştırmak,B1,берраклаштырмак,прояснять
bocalamak,B1,боджаламак,поворот; менять курс
boşaltmak,B1,бошалтмак,"опорожнять, выгружать"
burkmak,B1,буркмак,подворачивать (ногу)
can atmak,B1,джан атмак,гореть желанием
cesaret etmek,B1,джесарет этмек,осмелиться
depolamak,B1,деполамак,складировать
dert yanmak,B1,дерт йанмак,жаловаться на беду
değerlendirmek,B1,дейерлендирмек,оценивать
dikiş tutturmak,B1,дикиш туттурмак,свести концы с концами
dikkat çekmek,B1,диккат чекмек,привлекать внимание
dinmek,B1,динмек,утихать
dizini dövmek,B1,дизини дёвмек,кусать локти
dokunmak,B1,докунмак,трогать
dönüşmek,B1,дёнюшмек,превращаться
eleştirmek,B1,элештирмек,критиковать
eli boş gitmek,B1,эли бош гитмек,уйти ни с чем
esirgemek,B1,эсиргемек,"щадить, не жалеть"
etki etmek,B1,этки этмек,"влиять, действовать"
eğmek,B1,эймек,наклонять
fazla gelmek,B1,фазла гелмек,"быть слишком, оказаться лишним"
geliştirmek,B1,гелиштирмек,развивать
gerektirmek,B1,геректирмек,"требовать, обусловливать"
gerçekleşmek,B1,герчеклешмек,"сбываться, осуществляться"
görev almak,B1,гёрев алмак,взять на себя задачу
görevlendirmek,B1,гёревлендирмек,"поручить, назначить"
gözden çıkarmak,B1,гёзден чыкармак,"решиться потерять, списать"
gütmek,B1,гютмек,пасти; преследовать (цель)
halsiz kalmak,B1,халсиз калмак,обессилеть
harcamak,B1,харджамак,тратить
hatır sormak,B1,хатыр сормак,справляться о здоровье
hayal kurmak,B1,хайал курмак,мечтать
hedeflemek,B1,хедефлемек,ставить целью
hoş karşılamak,B1,хош каршыламак,радушно встречать
hoşbeş etmek,B1,хошбеш этмек,"болтать, обмениваться любезностями"
ilerletmek,B1,илерлетмек,продвигать
ilgi çekmek,B1,илги чекмек,вызывать интерес
imza atmak,B1,имза атмак,ставить подпись
inkar etmek,B1,инкар этмек,делать (вспомогательный глагол)
istekte bulunmak,B1,истекте булунмак,обращаться с просьбой
istifa etmek,B1,истифа этмек,подавать в отставку
izne çıkmak,B1,изне чыкмак,уходить в отпуск
içini boşaltmak,B1,ичини бошалтмак,излить душу
içini çekmek,B1,ичини чекмек,вздыхать
İzin vermek,B1,изин вермек,разрешать
kabullenmek,B1,кабулленмек,принимать (факт)
kalbini fethetmek,B1,калбини фетхетмек,завоевать сердце
kanıtlamak,B1,канытламак,доказывать
kaptırmak,B1,каптырмак,дать выхватить
katlanmak,B1,катланмак,"терпеть, сносить"
katmak,B1,катмак,добавлять
kavuşmak,B1,кавушмак,"воссоединяться, обретать"
kaynaklanmak,B1,кайнакланмак,"происходить от, корениться"
kaytarmak,B1,кайтармак,увиливать
kaçınmak,B1,качынмак,избегать
kendini dışarı atmak,B1,кендини дышары атмак,выскочить наружу
keyfine varmak,B1,кейфине вармак,наслаждаться
keyfini çıkarmak,B1,кейфини чыкармак,получать удовольствие
konsantre olmak,B1,консантре олмак,сосредоточиться
kurmak,B1,курмак,"устанавливать, основывать"
kurtarmak,B1,куртармак,спасать
kurtulmak,B1,куртулмак,избавляться
kârlı çıkmak,B1,карлы чыкмак,выйти в плюс
köreltmek,B1,кёрелтмек,"притуплять, губить"
kötüleşmek,B1,кётюлешмек,ухудшаться
kırılmak,B1,кырылмак,ломаться; обижаться
mantık yürütmek,B1,мантык йюрютмек,рассуждать логически
masaya yatırmak,B1,масайа йатырмак,вынести на обсуждение
meydana gelmek,B1,мейдана гелмек,"происходить, возникать"
miadı dolmak,B1,миады долмак,истечь (о сроке)
motive etmek,B1,мотиве этмек,мотивировать
mâl olmak,B1,мал олмак,"обойтись в, стоить"
namak,B1,намак,ошибка списка (не глагол)
netleşmek,B1,нетлешмек,проясняться
not etmek,B1,нот этмек,записывать
odaklanmak,B1,одакланмак,сосредоточиться
olgunlaşmak,B1,олгунлашмак,созревать
ovmak,B1,овмак,тереть
patlamak,B1,патламак,взрываться
paylaşmak,B1,пайлашмак,делиться
peşinde koşmak,B1,пешинде кошмак,"бегать за кем-л., стремиться"
pıhtılaşmak,B1,пыхтылашмак,свёртываться (о крови)
rahatlamak,B1,рахатламак,расслабляться
rica etmek,B1,риджа этмек,просить
romantik takılmak,B1,романтик такылмак,"флиртовать, вести себя романтично"
saklanmak,B1,сакланмак,прятаться
saptamak,B1,саптамак,"устанавливать, выявлять"
sarsılmak,B1,сарсылмак,"сотрясаться, пошатнуться"
saymak,B1,саймак,счёт; подсчёт
sağlamak,B1,саламак,обеспечивать
sinirlenmek,B1,синирленмек,злиться
sönmek,B1,сёнмек,гаснуть
söz tutmak,B1,сёз тутмак,держать слово
sıkı fıkı olmak,B1,сыкы фыкы олмак,быть запанибрата
sıkışmak,B1,сыкышмак,"зажиматься, застревать"
sıyrılmak,B1,сыйрылмак,ускользать
sızdırmak,B1,сыздырмак,"просачивать, сливать (информацию)"
tadım çıkarmak,B1,тадым чыкармак,"смаковать, наслаждаться"
tanımlamak,B1,танымламак,"определять, описывать"
tartışmak,B1,тартышмак,"спорить, обсуждать"
tazelemek,B1,тазелемек,освежать
telaşlanmak,B1,телашланмак,"суетиться, тревожиться"
tercih etmek,B1,терджих этмек,предпочитать
teslim etmek,B1,теслим этмек,"сдавать, вручать"
tespit etmek,B1,теспит этмек,"устанавливать, выявлять"
tüketmek,B1,тюкетмек,"потреблять, расходовать"
tıkanmak,B1,тыканмак,быть
ulaşmak,B1,улашмак,достигать
uyarlamak,B1,уйарламак,"приспособлять, адаптировать"
uygun görmek,B1,уйгун гёрмек,считать уместным
uzaklaşmak,B1,узаклашмак,отдаляться
uzamak,B1,узамак,"удлиняться, затягиваться"
uğraşmak,B1,урашмак,"возиться, заниматься"
vaaz vermek,B1,вааз вермек,проповедовать
yadırgamak,B1,йадыргамак,"считать чуждым, странным"
yakından tanımak,B1,йакындан танымак,хорошо знать
yansıtmak,B1,йансытмак,отражать
yaramak,B1,йарамак,"годиться, быть полезным"
yaratmak,B1,йаратмак,создавать
yardımcı olmak,B1,йардымджы олмак,содействовать
yedeklemek,B1,йедеклемек,делать запасную копию
yenilemek,B1,йенилемек,обновлять
yer almak,B1,йер алмак,"занимать место, участвовать"
yitirmek,B1,йитирмек,утрачивать
yitmek,B1,йитмек,исчезать
yol açmak,B1,йол ачмак,"приводить к, прокладывать путь"
yorumlamak,B1,йорумламак,"толковать, комментировать"
yoğunlaşmak,B1,йоунлашмак,"сгущаться, усиливаться"
yönetmek,B1,йёнетмек,управлять
yönlendirmek,B1,йёнлендирмек,направлять
yüceltmek,B1,йюджелтмек,возвеличивать
yükseltmek,B1,йюкселтмек,"поднимать, повышать"
yüreklendirmek,B1,йюреклендирмек,подбадривать
yüreği hop etmek,B1,йюрейи хоп этмек,сердце ёкнуло
yıpratmak,B1,йыпратмак,"изнашивать, изматывать"
yığmak,B1,йымак,складывать грудой
zenginleşmek,B1,зенгинлешмек,богатеть
zorlamak,B1,зорламак,"заставлять, напрягать"
zorlaştırmak,B1,зорлаштырмак,усложнять
çıldırtmak,B1,чылдыртмак,сводить с ума
öfkelenmek,B1,ёфкеленмек,"злиться, гневаться"
üstünlük kurmak,B1,юстюнлюк курмак,установить превосходство
ısınmak,B1,ысынмак,"греться, разогреваться"
şifayı kapmak,B1,шифайы капмак,подхватить болезнь
şikayet etmek,B1,шикайет этмек,жаловаться
akla karayı seçmek,B2,акла карайы сечмек,"измучиться, пройти огонь и воду"
aldanmak,B2,алданмак,обманываться
aldatmak,B2,алдатмак,"обманывать, изменять"
anmak,B2,анмак,"поминать, вспоминать"
ayak uydurmak,B2,айак уйдурмак,"поспевать, подстраиваться"
ayaklarına kara sular inmek,B2,айакларына кара сулар инмек,ноги отняться (от усталости)
ayarlamak,B2,айарламак,"настраивать, назначать"
ayıklamak,B2,айыкламак,"перебирать, отсеивать"
azarlamak,B2,азарламак,бранить
barındırmak,B2,барындырмак,"давать приют, содержать"
bağlanmak,B2,баланмак,"привязываться, подключаться"
bağımlı olmak,B2,баымлы олмак,быть зависимым
başa çıkmak,B2,баша чыкмак,справляться
başına devlet kuşu konmak,B2,башына девлет кушу конмак,крупно повезти
berabere kalmak,B2,берабере калмак,сыграть вничью
beyaz peynir gibi olmak,B2,бейаз пейнир гиби олмак,побледнеть (как сыр)
birbirine girmek,B2,бирбирине гирмек,"сцепиться, перемешаться"
boğmak,B2,бомак,"душить, топить"
burun buruna gelmek,B2,бурун буруна гелмек,столкнуться нос к носу
canı çıkmak,B2,джаны чыкмак,"выбиться из сил, еле живой"
canına tak etmek,B2,джанына так этмек,чаша терпения переполнилась
cızırdamak,B2,джызырдамак,"шипеть, трещать"
daldırmak,B2,далдырмак,окунать
damgasını vurmak,B2,дамгасыны вурмак,наложить отпечаток
dengeli beslenmek,B2,денгели бесленмек,питаться сбалансированно
dili tutulmak,B2,дили тутулмак,язык отнялся
direksiyon kırmak,B2,дирексийон кырмак,"крутить руль, сворачивать"
duvar örmek,B2,дувар ёрмек,класть стену
dövünmek,B2,дёвюнмек,"причитать, бить себя"
elde etmek,B2,элде этмек,"добиваться, получать"
ertelemek,B2,эртелемек,откладывать
evlat edinmek,B2,эвлат эдинмек,усыновить / удочерить
eşlik etmek,B2,эшлик этмек,делать (вспомогательный глагол)
fokurdamak,B2,фокурдамак,бурлить
fısıldamak,B2,фысылдамак,шептать
garanti altına almak,B2,гаранти алтына алмак,"гарантировать, обеспечить"
geride bırakmak,B2,гериде быракмак,оставить позади
geride kalmak,B2,гериде калмак,отстать
gerisinde kalmak,B2,герисинде калмак,остаться позади
giyinip kuşanmak,B2,гийинип кушанмак,нарядиться
göbeği çatlamak,B2,гёбейи чатламак,надорваться (от смеха/труда)
gönlünü hoş tutmak,B2,гёнлюню хош тутмак,"утешать, держать в хорошем настроении"
göz kamaştırmak,B2,гёз камаштырмак,"ослеплять, поражать"
göze çarpmak,B2,гёзе чарпмак,бросаться в глаза
hacca gitmek,B2,хаджджа гитмек,ехать в хадж
haşır neşir olmak,B2,хашыр нешир олмак,быть по уши занятым
imaj yaratmak,B2,имаж йаратмак,создавать имидж
imdadına yetişmek,B2,имдадына йетишмек,прийти на помощь
kafasına esmek,B2,кафасына эсмек,взбрести в голову
kandırmak,B2,кандырмак,обманывать
kaplamak,B2,капламак,покрывать
kapsamak,B2,капсамак,охватывать
katkı vermek,B2,каткы вермек,вносить вклад
kendisini göstermek,B2,кендисини гёстермек,проявить себя
keselemek,B2,кеселемек,тереть мочалкой
kirlenmek,B2,кирленмек,пачкаться
kombine etmek,B2,комбине этмек,комбинировать
kundaklamak,B2,кундакламак,пеленать; поджигать
küreselleşmek,B2,кюреселлешмек,глобализироваться
kıyafet denemek,B2,кыйафет денемек,примерять одежду
masraf yapmak,B2,масраф йапмак,тратиться
maymun olmak,B2,маймун олмак,"опростоволоситься, стать посмешищем"
meraktan çatlamak,B2,мерактан чатламак,сгорать от любопытства
nüfuz etmek,B2,нюфуз этмек,"проникать, влиять"
odaklamak,B2,одакламак,фокусировать
okşamak,B2,окшамак,"гладить, ласкать"
oyalamak,B2,ойаламак,"отвлекать, занимать"
pazarlamak,B2,пазарламак,"продавать, продвигать"
pekiştirmek,B2,пекиштирмек,"закреплять, усиливать"
sahiplenmek,B2,сахипленмек,"присваивать, опекать"
saldırganlaşmak,B2,салдырганлашмак,становиться агрессивным
savunmak,B2,савунмак,защищать
sergilemek,B2,сергилемек,"выставлять, демонстрировать"
sona ermek,B2,сона эрмек,заканчиваться
sürdürmek,B2,сюрдюрмек,продолжать
sürülmek,B2,сюрюлмек,быть изгнанным; сеяться
sırılsıklam olmak,B2,сырылсыклам олмак,промокнуть до нитки
sıvazlamak,B2,сывазламак,поглаживать
tadını çıkarmak,B2,тадыны чыкармак,наслаждаться
takdir etmek,B2,такдир этмек,делать (вспомогательный глагол)
tapmak,B2,тапмак,поклоняться
tasarlamak,B2,тасарламак,"проектировать, замышлять"
teklif etmek,B2,теклиф этмек,предлагать
temelini atmak,B2,темелини атмак,закладывать основу
tutuklamak,B2,тутукламак,арестовывать
tıklamak,B2,тыкламак,щёлкать (мышью)
ummak,B2,уммак,Надя; Надежда
uzaklaştırmak,B2,узаклаштырмак,"отдалять, отстранять"
yakınmak,B2,йакынмак,сетовать
yanılmak,B2,йанылмак,ошибаться
yaralamak,B2,йараламак,ранить
yaygınlaşmak,B2,йайгынлашмак,распространяться
yok satmak,B2,йок сатмак,быть раскупленным
yılmak,B2,йылмак,"пасовать, устрашаться"
zevk almak,B2,зевк алмак,получать удовольствие
çarmıha germek,B2,чармыха гермек,распинать
çatmak,B2,чатмак,наткнуться; набрасываться
çığlık atmak,B2,чылык атмак,"кричать, вскрикивать"
özümsemek,B2,ёзюмсемек,усваивать
ün kazanmak,B2,юн казанмак,прославиться
üstesinden gelmek,B2,юстесинден гелмек,"справиться, преодолеть"
ısırmak,B2,ысырмак,кусать
şahlanmak,B2,шахланмак,"вставать на дыбы, воспрянуть"
şaşmak,B2,шашмак,удивляться; сбиваться
şımarmak,B2,шымармак,"избаловаться, зазнаться"
adamak,C1,адамак,"посвящать, давать обет"
adlandırmak,C1,адландырмак,называть
adım atmak,C1,адым атмак,"делать шаг, предпринимать шаг"
aksetmek,C1,аксетмек,"отражаться, отзываться"
aktarmak,C1,актармак,"пересаживать, передавать"
aman dilemek,C1,аман дилемек,просить пощады
artış göstermek,C1,артыш гёстермек,показывать рост
arz etmek,C1,арз этмек,"предлагать, представлять"
ayırt etmek,C1,айырт этмек,различать
başını dinlemek,C1,башыны динлемек,"отдыхать, приходить в себя"
bilinçlendirmek,C1,билинчлендирмек,"просвещать, повышать сознательность"
bir şeyde hakkı olmak,C1,бир шейде хаккы олмак,иметь право на что-л.
bir şeyi lehine çevirmek,C1,бир шейи лехине чевирмек,обратить в свою пользу
bir şeyin temelini atmak,C1,бир шейин темелини атмак,заложить основу
buğulanmak,C1,бууланмак,запотевать
bıyık altından gülmek,C1,быйык алтындан гюлмек,усмехаться в усы
dahil etmek,C1,дахил этмек,включать
