word,level,transcription,russian
almak,A1,алмак,"брать, покупать"
anlamak,A1,анламак,понимать
Anlaşmak,A1,анлашмак,"договариваться, понимать друг друга"
aramak,A1,арамак,искать; звонить
asmak,A1,асмак,вешать
atlamak,A1,атламак,"прыгать, перескакивать"
atmak,A1,атмак,бросать
açmak,A1,ачмак,открывать
Ağrımak,A1,арымак,болеть
bakmak,A1,бакмак,"смотреть, присматривать"
banyo yapmak,A1,банйо йапмак,принимать ванну
bayılmak,A1,байылмак,падать в обморок; очень нравиться
başlamak,A1,башламак,начинать; начать; начинаться
beklemek,A1,беклемек,ждать
benzemek,A1,бенземек,быть похожим
beslenmek,A1,бесленмек,питаться
Beğenmek,A1,бейенмек,нравиться
bilmek,A1,билмек,знать
binmek,A1,бинмек,садиться (на транспорт)
biriktirmek,A1,бириктирмек,"копить, собирать"
bitmek,A1,битмек,кончаться
buluşmak,A1,булушмак,встречаться
dans etmek,A1,данс этмек,танцевать
Danışmak,A1,данышмак,советоваться
demek,A1,демек,"говорить, значить, сказать"
devam etmek,A1,девам этмек,продолжать
Değiştirmek,A1,дейиштирмек,менять
dilemek,A1,дилемек,"желать, просить"
dinlemek,A1,динлемек,слушать
dinlenmek,A1,динленмек,отдыхать
dolaşmak,A1,долашмак,"бродить, гулять"
doğmak,A1,домак,рождаться
durmak,A1,дурмак,"останавливаться, стоять"
duş almak,A1,душ алмак,принимать душ
dönmek,A1,дёнмек,"возвращаться, поворачиваться"
etmek,A1,этмек,делать (вспомогательный глагол)
evlenmek,A1,эвленмек,"жениться, выходить замуж"
fotoğraf çekmek,A1,фотораф чекмек,фотографировать
gecikmek,A1,геджикмек,опаздывать
gelmek,A1,гелмек,приходить
gezmek,A1,гезмек,"гулять, путешествовать"
geçmek,A1,гечмек,"проходить, переходить"
girmek,A1,гирмек,входить
gitmek,A1,гитмек,"идти, ехать"
göndermek,A1,гёндермек,"отправлять, посылать"
görüşmek,A1,гёрюшмек,"общаться, обсуждать"
hazırlamak,A1,хазырламак,"готовить, подготавливать"
hazırlanmak,A1,хазырланмак,готовиться
heyecanlanmak,A1,хейеджанланмак,волноваться
hissetmek,A1,хиссетмек,чувствовать
hoşlanmak,A1,хошланмак,"нравиться, любить"
internete girmek,A1,интернете гирмек,выходить в интернет
izlemek,A1,излемек,"следить, смотреть"
İlgilenmek,A1,илгиленмек,"интересоваться, заниматься"
kahvaltı etmek,A1,кахвалты этмек,завтракать
kalkmak,A1,калкмак,вставать
kalmak,A1,калмак,оставаться
kapanmak,A1,капанмак,закрываться
kapatmak,A1,капатмак,закрывать
karşılamak,A1,каршыламак,встречать
katılmak,A1,катылмак,присоединяться
Kaşınmak,A1,кашынмак,чесаться
kontrol etmek,A1,контрол этмек,"проверять, контролировать"
konuşmak,A1,конушмак,говорить
korkmak,A1,коркмак,бояться
korumak,A1,корумак,"защищать, беречь"
koymak,A1,коймак,"класть, ставить"
koşmak,A1,кошмак,бегать
kullanmak,A1,кулланмак,использовать
kutlamak,A1,кутламак,праздновать
kutlu olmak,A1,кутлу олмак,быть благословенным
Kızarmak,A1,кызармак,краснеть; жариться
nefret etmek,A1,нефрет этмек,ненавидеть
okumak,A1,окумак,читать
olmak,A1,олмак,"быть, становиться"
oturmak,A1,отурмак,"сидеть, жить"
oynamak,A1,ойнамак,играть
para çekmek,A1,пара чекмек,снимать деньги
pişirmek,A1,пиширмек,готовить (еду)
Sallanmak,A1,салланмак,качаться
sanmak,A1,санмак,"полагать, считать"
satın almak,A1,сатын алмак,покупать
sevmek,A1,севмек,любить
sohbet etmek,A1,сохбет этмек,беседовать
sormak,A1,сормак,спрашивать
spor yapmak,A1,спор йапмак,заниматься спортом
stres atmak,A1,стрес атмак,сбрасывать стресс
söylemek,A1,сёйлемек,"говорить, сказать"
sürmek,A1,сюрмек,вести (машину); длиться
sıkılmak,A1,сыкылмак,скучать; стесняться
Tansiyon ölçtürmek,A1,тансийон ёлчтюрмек,измерять давление
tanımak,A1,танымак,"знать, узнавать"
tanışmak,A1,танышмак,знакомиться
Tartılmak,A1,тартылмак,взвешиваться
Tedavi olmak,A1,тедави олмак,лечиться
tekrar etmek,A1,текрар этмек,повторять
telefon etmek,A1,телефон этмек,звонить
temizlemek,A1,темизлемек,"чистить, убирать"
toplamak,A1,топламак,собирать
tırmanmak,A1,тырманмак,"карабкаться, лазить"
uyumak,A1,уйумак,спать
uzanmak,A1,узанмак,"лежать, протягиваться"
varmak,A1,вармак,прибывать
vedalaşmak,A1,ведалашмак,прощаться
vermek,A1,вермек,давать
